Title,Description,Price,Link
Flats/house 2BHK for rental available with covered secured car parking,2 BHK - 2 Bathroom - 850 sqft,"₹ 8,500",/item/for-rent-houses-apartments-c1723-2-bhk-apartments-850-sq-ft-in-thandalai-thiruvarur-iid-1747631266
Car Cover for Renault Kwid – Perfect Fit  Neodrift  Excel Condition,,"₹ 2,500",/item/spare-parts-c1585-other-spare-parts-in-medavakkam-chennai-iid-1825423523
2BHK flat with covered car parking sale in Orchard at Godrej Se7en,2 BHK - 2 Bathroom - 817 sqft,"₹ 43,00,000",/item/for-sale-houses-apartments-c1725-2-bhk-apartments-817-sq-ft-in-joka-kolkata-iid-1823330017
Alto k10 (old model) car cover,,,/item/other-services-c625-alto-k10-old-model-car-cover-in-nobel-high-society-junagadh-iid-1825845053
75 gaj home with covered car parking near sohna road highway,2 BHK - 1 Bathroom - 713 sqft,"₹ 35,00,000",/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
Alto car stereo for sale k10 model with cover -OG,,"₹ 2,400",/item/tvs-video-audio-c1523-alto-car-stereo-for-sale-k10-model-with-cover-og-in-dicholi-bicholim-iid-1825275452
3 BHK luxury independent floor with lift covered car parking,3 BHK - 2 Bathroom - 1350 sqft,"₹ 47,99,999",/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1350-sq-ft-in-govindpuram-ghaziabad-iid-1787565848
MODERN manufactur car seat cover,,,/item/other-services-c625-modern-manufactur-car-seat-cover-in-housing-board-colony-hyderabad-iid-1776374025
"Car cover for alto, maruthi suzuki",,"₹ 1,000",/item/other-household-items-c293-car-cover-for-alto-maruthi-suzuki-in-t-v-s-nagar-hosur-iid-1825831975
Cng Petrol Company Fitted Fully Condition Car New Tayre New Seat Cover,"2017 - 129,320 km","₹ 3,90,000",/item/cars-c84-used-maruti-suzuki-flex-fuel-in-thakur-vasti-alandi-iid-1825829335
1 BHK independent kothi with covered car parking inside,1 BHK - 1 Bathroom - 2000 sqft,"₹ 10,000",/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-2000-sq-ft-in-model-town-bathinda-iid-1824849450
"1620 Sq.ft 3 BHK water view flat,covered car parking,Marinedrive Kochi",3 BHK - 2 Bathroom - 1620 sqft,"₹ 1,15,00,000",/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1620-sq-ft-in-marine-drive-kochi-iid-1825824478
Ignis wheel cover 3 no's and ignis car cover,,"₹ 3,100",/item/spare-parts-c1585-wheels-tyres-in-indirapuram-vaibhav-khand-ghaziabad-iid-1824820463
Car seat cover new,,₹ 400,/item/spare-parts-c1585-other-spare-parts-in-kotri-gordhanpura-kota-iid-1825821527
East Facing 2BHK Flat for Sale  840 Sq.ft  Covered Car Parking,2 BHK - 2 Bathroom - 840 sqft,"₹ 45,00,000",/item/for-sale-houses-apartments-c1725-2-bhk-apartments-840-sq-ft-in-pallikaranai-chennai-iid-1825820500
