Title,Description,Price,Link
"Honda Amaze, 2013, Diesel","2013 - 114,000 km","₹ 3,80,000",/item/cars-c84-used-honda-amaze-in-karuvampalayam-extn-tiruppur-iid-1822916356
Driver Wanted to Drive Everest Fleet Cars on Uber,₹ 25000 - 30000 | Monthly,,/item/driver-c2206-full-time-in-ganesh-talkies-kolkata-iid-1823293868
"Honda WR-V 1.2 VX i-VTEC, 2018, Petrol","2018 - 50,000 km","₹ 6,49,000",/item/cars-c84-used-honda-wrv-in-hitech-city-hyderabad-iid-1825746351
"Honda WR-V 1.5 VX i-DTEC, 2019, Diesel","2019 - 101,000 km","₹ 6,90,000",/item/cars-c84-used-honda-wrv-in-cms-school-coimbatore-iid-1824849156
Maruti suzuki ertiga cng t permit new cars,,"₹ 2,59,000",/item/commercial-other-vehicles-c85-taxi-cabs-used-maruti-suzuki-in-vasai-east-mumbai-iid-1750951393
"Honda Amaze, 2013, Diesel","2013 - 96,000 km","₹ 3,50,000",/item/cars-c84-used-honda-amaze-in-calicut-airport-kozhikode-iid-1819505621
"Honda City i-VTEC SV, 2019, Petrol","2019 - 16,284 km","₹ 6,35,000",/item/cars-c84-used-honda-city-in-rohini-sector-10-delhi-iid-1823449340
"Honda Jazz V Automatic, 2016, Petrol","2016 - 55,100 km","₹ 4,50,000",/item/cars-c84-used-honda-jazz-in-netaji-subhash-place-delhi-iid-1822272822
"Honda Amaze 1.2 SMT I VTEC, 2016, Petrol","2016 - 53,000 km","₹ 3,25,000",/item/cars-c84-used-honda-amaze-in-malviya-nagar-delhi-iid-1822272629
"Honda City 2011-2013 E, 2013, Petrol","2013 - 72,000 km","₹ 3,65,000",/item/cars-c84-used-honda-city-in-sadguru-nagar-nashik-iid-1825846081
"Honda BR-V i-VTEC S MT, 2016, Petrol","2016 - 40,000 km","₹ 5,75,000",/item/cars-c84-used-honda-brv-in-jangpura-delhi-iid-1818457245
"Honda City S MT, 2013, Petrol","2013 - 50,000 km","₹ 2,45,000",/item/cars-c84-used-honda-city-in-lajpat-nagar-1-delhi-iid-1825649414
"Honda City ZX CVT, 2024, Petrol","2024 - 16,000 km","₹ 14,50,000",/item/cars-c84-used-honda-city-zx-in-rajouri-garden-delhi-iid-1823915999
"Honda Amaze V Petrol, 2020, Petrol","2020 - 75,000 km","₹ 5,80,000",/item/cars-c84-used-honda-amaze-in-sg-highway-ahmedabad-iid-1822856005
"Honda City 2015-2017 i DTec S, 2016, Diesel","2016 - 80,000 km","₹ 5,00,000",/item/cars-c84-used-honda-city-in-ranip-ahmedabad-iid-1822855088
"Honda Brio 2011-2013 S MT, 2013","2013 - 74,000 km","₹ 2,45,000",/item/cars-c84-used-honda-brio-in-dindayal-upadhay-nagar-raipur-iid-1821197570
"Honda Brio 2013-2016 VX AT, 2014, Petrol","2014 - 38,000 km","₹ 3,40,000",/item/cars-c84-used-honda-brio-in-bandra-west-mumbai-iid-1823523223
"Honda City 2008-2011 1.5 S MT, 2011, CNG & Hybrids","2011 - 130,000 km","₹ 2,59,000",/item/cars-c84-used-honda-city-in-airoli-navi-mumbai-iid-1820067692
"Honda City 2014-2015 i DTEC V, 2015, Diesel",2015 - 180 km,"₹ 5,30,000",/item/cars-c84-used-honda-city-in-district-jail-kozhikode-kozhikode-iid-1821957131
